934,with,với,,
935,wihout,không có,,
936,woman,phụ nữ,n,
937,women,phụ nữ số nhiều,n,
938,wood,"gỗ, rừng",n,
939,word,"chữ, từ",n,
940,work,"làm việc, công việc","v, n",
941,workplace,nơi làm việc,n,
942,world,thế giới,n,
943,worse,tệ hơn,adj,
944,worst,tệ nhất,adj,
945,write,viết,v,
946,wrong,"sai, sai trái",adj,
947,yawn,ngáp,"v, n",
948,year,năm,n,
949,yellow,"vàng, màu vàng","adj, n",
950,yesterday,hôm qua,n,
951,yet,chưa,,
952,young,"trẻ trung, trẻ","adj, n",
953,zero,số không,n,
